crinkle,皱纹,['kriŋkl],v.
cripple,(使)残废,['kripl],n.
criteria,评判标准,[krai'tiəriə],n.
criterion,评判的标准，尺度,[krai'tiəriən],n.
critic,批评者,['kritik],n.
critical,挑毛病的；关键的，危急的,['kritikəl],a.
critique,批评性的分析,[kri'ti:k],n.
croak,发牢骚，抱怨,[krəuk],n.
crochet,用钩针编织,['krəuʃei],n.
crockery,陶器，瓦器,['krɔkəri],n.
cronyism,(由指政治上)任人唯亲；对好朋友的偏袒,[krəuniizəm],n.
crook,钩状物,[kruk],v.
croon,低声歌唱,['kru:n],v.
cross,生气的,[krɔs],a.
crotchety,脾气坏的,['krɔtʃiti],a.
crouch,蹲伏，弯腰,['krautʃ],v.
crown,加冕，使成王，居„之顶,[kraun],v.
crucial,决定性的,['kru:ʃiəl],a.
crudity,粗糙，生硬,['kru:diti],n.
crumb,饼屑，面包屑；碎裂的东西,[krʌm],n.
crumble,弄碎；崩毁,['krʌmbl],v.
crumple,弄皱；破裂,['krʌmpl],v.
crusade,维护理想、原则而进行的运动或斗争,[kru:'seid],n.
crust,硬的表面；(一片)面包片；地壳,[krʌst],n.
crutch,支撑,[krʌtʃ],n.
crux,关键，症结所在,[krʌks],n.
cryogenic,低温的，制冷的；低温学的,[ˌkraiəu'dʒenik],a.
crypt,地下室，地窖,[kript],n.
cryptic,秘密的，神秘的,['kriptik],a.
cub,幼兽；年轻无经验的人,[kʌb],n.
cubicle,大房间中隔出的小室,['kju:bikl],n.
cuddle,搂抱，拥抱,['kʌdl],n.
cue,暗示，提示,[kju:],v.
cuff,上手铐,['kʌf],n.
cuisine,烹饪,[kwi(:)'zi:n],n.
culinary,厨房的；烹调的,['kʌlinəri],a.
cull,挑剩下的次品,[kʌl],v.
culmination,顶点；最终结果、最终结论,[kʌlmi'neiʃ(ə)n],n.
culpable,有罪的，该受谴责的,['kʌlpəbl],a.
culprit,犯罪者,['kʌlprit],n.
cult,宗派；崇拜,[kʌlt],n.
cultivate,种植；向„讨好,['kʌltiveit],v.
cultivated,耕种的，栽植的；有修养的,['kʌltiveitid],a.
cumber,拖累，妨碍,['kʌmbə],v.
cumbersome,笨重的,['kʌmbəsəm],a.
cumulus,积云,['kju:mjuləs],n.
cunning,欺诈行为,['kʌniŋ],a.
cupidity,贪婪,[kju(:)'piditi],n.
curator,(博物馆等)馆长,[kjuə'reitə],n.
curb,控制,[kə:b],n.
curd,凝乳,[kə:d],n.
curdle,使凝结，变稠,['kə:dl],v.
curfew,宵禁,['kə:fju:],n.
curmudgeon,脾气暴躁之人,[kə:'mʌdʒən],n.
curriculum,(全部的)课程,[kə'rikjuləm],n.
currish,下贱的；杂种的,['kə:riʃ],a.
cursive,草书的,['kə:siv],a.
cursory,粗略的，草率的,['kə:səri],a.
curt,(言词、行为)简略而草率的,[kə:t],a.
curtail,削减，缩短,[kə:'teil],v.
curvaceous,婀娜多姿的；曲线的,[kə:'veiʃəs],a.
cushion,缓冲,['kuʃən],n.
custodian,管理员，监护人,[kʌs'təudjən],n.
custody,监护，监管，保管,['kʌstədi],n.
customary,合乎习俗的,['kʌstəməri],a.
cuticle,表皮,['kju:tikl],n.
cutlery,(刀、叉、匙等)餐具,['kʌtləri],n.
cyclical,循环的,['sɑiklikl],a.
cyclone,气旋，飓风,['saiklon],n.
cygnet,小天鹅,['siɡnit],n.
cylinder,圆柱,['silində],n.
cynic,犬儒主义者，愤世嫉俗者,['sinik],n.
cynosure,注意的焦点,['sinəzjuə],n.
cypress,柏树,['saipris],n.
cytology,[生]细胞学,[sai'tɔlədʒi],n.
dab,轻拍；轻轻地涂抹,[dæb],v.
dabble,涉足，浅赏,['dæbl],v.
dabbler,涉猎者，浅尝辙止者,['dæblə],n.
daft,傻的,[dɑ:ft],a.
dagger,短剑，匕首,['dæɡə],n.
