mortification,耻辱，屈辱,['mɔ:tifi'keiʃən],n.
mortify,使屈辱，使痛心,['mɔ:tifai],v.
mortuary,停尸间，太平间,['mɔ:tjuəri],n.
mosaic,马赛克(把不同颜色的小块玻璃石头等镶嵌成图画),[mɔ'zeiik],n.
mosque,清真寺(伊斯兰教的寺庙),[mɔsk],n.
mosquito,蚊子,[məs'ki:təu],n.
mote,微粒，微尘,[məut],n.
motif,(作品)主题，主旨,[məu'ti:f],n.
motile,能动的，有自动力的,['məutail],a.
motility,运动性，游动性,[məu'tiliti],n.
motley,混杂的；杂色的,['mɔtli],a.
mottle,使成杂色,['mɔtl],v.
mottled,有杂色的，斑驳的,['mɔtld],a.
motto,座右铭；格言,['mɔtəu],n.
mountainous,多山的；巨大的,['mauntinəs],a.
mountebank,江湖郎中，骗子,['mauntibæŋk],n.
mourn,哀悼，哀伤,[mɔ:n],v.
mournful,悲伤的,['mɔ:nful],a.
movement,(交响乐)乐章,['mu:vmənt],n.
muck,施肥；捣乱,[mʌk],n.
muddle,混乱，迷惑,['mʌdl],n.
muddy,多泥的；浑浊的，不纯的,['mʌdi],a.
muffle,使声音降低；裹住,['mʌfl],v.
muffled,(声音)压低的,['mʌfld],a.
muffler,消音器；围巾,['mʌflə],n.
muggy,(天气)闷热而潮湿的,['mʌɡi],a.
mulct,处以罚金；诈取，诈骗,[mʌlkt],n.
mulish,骡一样的，执拗的，顽固的,['mju:liʃ],a.
mull,混乱,[mʌl],v.
multifarious,多种的，各式各样的,[ˌmʌlti'feəriəs],a.
multiple,多样的，多重的,['mʌltipl],a.
multiplicity,多样性,[ˌmʌlti'plisiti],n.
multiply,乘；大量增加；繁殖,['mʌltipli],v.
multitude,多数；大众，平民,['mʌltitju:d],n.
mumble,咕哝，含糊不清地说,['mʌmbl],v.
munch,出声咀嚼,[mʌntʃ],v.
mundane,平凡的，世俗的,['mʌndein],a.
municipality,自治市；市政当局(指城市行政区及管理者),[mju:ˌnisi'pæliti],n.
munificence,慷慨，礼物的丰厚,[mju:'nifisəns],n.
muniments,契据，房契,['mju:nimənts],n.
munition,军火，弹药,[mju:'niʃən],n.
mural,(尤指大型)壁画,['mjuərəl],a.
murky,黑暗的；朦胧的,['mə:ki],a.
murmur,低声地说，喃喃而言,['mə:mə],v.
muscle,肌肉；肌肉的力量,['mʌsl],n.
muscular,肌肉的；强健的,['mʌskjulə],a.
muse,沉思，冥想,[mju:z],v.
mushroom,雨后春笋般迅速发展,['mʌʃrum],n.
musicologist,音乐学者,[ˌmju:zik'kɔlədʒist],n.
musket,旧式步枪，毛瑟枪,['mʌskit],n.
musky,麝香的,['mʌski],a.
muster,召集，聚集,['mʌstə],v.
musty,发霉的，有霉臭的,['mʌsti],a.
mutate,（生）变异,[mju:'teit],v.
mute,(乐器的)弱音器,[mju:t],a.
muted,(声音)减弱的，变得轻柔的,['mju:tid],a.
mutilate,残害；切断(肢体),['mju:tileit],v.
mutineer,反叛者，背叛者,[ˌmju:ti'niə],n.
mutinous,叛变的；反抗的,['mju:tinəs],a.
mutter,小声咕哝，嘀咕,['mʌtə],v.
mutton,羊肉,['mʌtn],n.
muzzy,头脑糊涂的,['mʌzi:],a.
myopia,(医)近视；缺乏远见,[mai'əupiə],n.
myopic,近视眼的；缺乏远见的,[mai'ɔpik],a.
myriad,极大量的，无数的,['miriəd],a.
mystic,神秘主义者(寻求人神交融以求人类不解之真理者),['mistik],a.
nadir,最低点,['neidiə],n.
nag,(贬)不断挑剔或批评某人；不断烦扰或伤害某人,[næɡ],v.
naive,天真的，纯朴的,[nɑ:'i:v],a.
naivety,天真，纯朴，幼稚,[nɑ:'i:vti],n.
narcissism,自恋，自爱，自我陶醉,['nɑ: sisizəm],n.
narcissist,自负的人，自恋者,['nɑ:sisist],n.
narcotic,催眠的，麻醉的,[nɑ:'kɔtik],n.
narrative,叙述的，讲故事的,['nerətiv],a.
nasal,鼻的；有鼻音的,['neizəl],a.
nascent,初生的，萌芽的,['næsnt],a.
natal,出生时的，诞生时的，先天的,['neitəl],a.
natation,游泳，游泳术,[nei'teiʃən],n.
natty,整洁漂亮的；灵巧聪明的,['næti],a.
nausea,作呕，恶心,['nɔ:sjə],n.
nauseate,使作呕，使厌恶,['nɔ:sieit],v.
nautical,船员的，航海的,['nɔ:tikəl],a.
navigate,航海，导航,['næviɡeit],v.
naysay,拒绝，说不,['neisei],v.
naysayer,怀疑者，否定者,['neiˌseiə],n.
nebulous,模糊不清的；云状的,['nebjuləs],a.
necessitous,贫困的；急需的,[ni'sisitəs],a.
necropolis,大墓地，公墓,[nə'krɔpəlis],n.
nectar,琼浆玉液；花蜜,['nektə],n.
needle,针；针叶,['ni:dl],n.
needlework,缝纫，刺绣,['ni:d(ə)lwə:k],n.
needy,贫穷的,['ni:di],a.
nefarious,违法的，邪恶的,[ni'feəriəs],a.
